expediente|cod_plan|des_plan|anio_apertura_expediente|exp_cerrado|exp_trasladado|tipo_traslado|exp_bloqueado|abandona|anio_convocatoria_acceso|convocatoria_acceso|acceso|des_acceso|sub_acceso|des_subacesso|nota_acceso|nota_admision_def|centro_escolar_acceso|sexo|fecha_nacimiento|cod_provincia|provincia|cod_municipio|municipio
577|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1987-88|FEB|5|Título Universitario|2|Curso de Adaptación||||H|1960-09-16|10.0|CÁCERES|1.0|CÁCERES
578|1626|GRADO EN EDIFICACIÓN|2010-11|N|N||N|N|1987-88|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1969-09-19|28.0|MADRID|1.0|MADRID
579|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2002-03|SEP|5|Título Universitario|2|Curso de Adaptación||||D|1981-07-04|10.0|CÁCERES|1.0|CÁCERES
580|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1993-94|JUN|5|Título Universitario|2|Curso de Adaptación||||D|1977-02-17|10.0|CÁCERES|516.0|NAVALMORAL DE LA MATA
581|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1995-96|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1974-12-15|6.0|BADAJOZ|215.0|DON BENITO
582|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1995-96|FEB|5|Título Universitario|2|Curso de Adaptación||||H|1966-03-25|10.0|CÁCERES|264.0|CORIA
583|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2000-01|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1971-10-09|45.0|TOLEDO|244.0|ESCALONILLA
584|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1991-92|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1965-04-07|10.0|CÁCERES|1.0|CÁCERES
585|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1995-96|SEP|5|Título Universitario|2|Curso de Adaptación||||H|1974-09-30|10.0|CÁCERES|444.0|MADROÑERA
586|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1984-85|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1963-12-17|10.0|CÁCERES|1.0|CÁCERES
587|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2007-08|SEP|5|Título Universitario|2|Curso de Adaptación||||H|1979-07-17|10.0|CÁCERES|584.0|PLASENCIA
588|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1983-84|FEB|5|Título Universitario|2|Curso de Adaptación||||H|1958-10-12|10.0|CÁCERES|444.0|MADROÑERA
589|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2001-02|SEP|5|Título Universitario|2|Curso de Adaptación||||H|1981-03-22|10.0|CÁCERES|1.0|CÁCERES
590|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2002-03|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1976-06-08|10.0|CÁCERES|1.0|CÁCERES
591|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2007-08|FEB|5|Título Universitario|2|Curso de Adaptación||||D|1978-06-08|10.0|CÁCERES|584.0|PLASENCIA
592|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1982-83|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1964-06-11|39.0|CANTABRIA|425.0|TORRELAVEGA
593|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1987-88|FEB|5|Título Universitario|2|Curso de Adaptación||||H|1964-06-20|10.0|CÁCERES|452.0|MALPARTIDA DE CÁCERES
594|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2003-04|JUN|5|Título Universitario|2|Curso de Adaptación||||D|1976-05-31|20.0|GIPUZKOA|1.0|DONOSTIA-SAN SEBASTIÁN
595|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2001-02|FEB|5|Título Universitario|2|Curso de Adaptación||||H|1974-08-30|10.0|CÁCERES|1.0|CÁCERES
596|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2001-02|JUN|5|Título Universitario|2|Curso de Adaptación||||D|1977-05-08|10.0|CÁCERES|1.0|CÁCERES
597|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2006-07|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1983-05-24|10.0|CÁCERES|1.0|CÁCERES
598|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1994-95|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1973-03-31|10.0|CÁCERES|1.0|CÁCERES
599|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2007-08|FEB|5|Título Universitario|2|Curso de Adaptación||||H|1985-06-11|10.0|CÁCERES|584.0|PLASENCIA
600|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2006-07|FEB|5|Título Universitario|2|Curso de Adaptación||||D|1984-03-19|10.0|CÁCERES|584.0|PLASENCIA
601|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1999-00|FEX|5|Título Universitario|2|Curso de Adaptación||||D|1977-01-12|10.0|CÁCERES|1.0|CÁCERES
602|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1986-87|FEB|5|Título Universitario|2|Curso de Adaptación||||D|1961-09-08|10.0|CÁCERES|1.0|CÁCERES
603|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1986-87|FEB|5|Título Universitario|2|Curso de Adaptación||||H|1965-07-31|10.0|CÁCERES|1.0|CÁCERES
