expediente|cod_plan|des_plan|anio_apertura_expediente|exp_cerrado|exp_trasladado|tipo_traslado|exp_bloqueado|abandona|anio_convocatoria_acceso|convocatoria_acceso|acceso|des_acceso|sub_acceso|des_subacesso|nota_acceso|nota_admision_def|centro_escolar_acceso|sexo|fecha_nacimiento|cod_provincia|provincia|cod_municipio|municipio
146|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|S|N|N|N|N|2010-11|JUN|1|Selectividad|5|LOE (Grados)|6.4|6.4|216-I.E.S. AUGUSTÓBRIGA|H|1993-11-15|10.0|CÁCERES|516.0|NAVALMORAL DE LA MATA
147|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|S|N|N|N|N|2010-11|JUN|1|Selectividad|5|LOE (Grados)|5.994||109-I.E.S. ALBARREGAS|H|1993-04-01|6.0|BADAJOZ|410.0|MÉRIDA
148|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|S|N|N|N|N|2010-11|JUN|1|Selectividad|5|LOE (Grados)|6.64||141-I.E.S. RODRÍGUEZ MOÑINO|D|1993-07-10|6.0|BADAJOZ|1.0|BADAJOZ
149|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|S|I|N|S|2010-11|JUN|3|Formación Profesional|1|Ciclos formativos|5.5|5.5|149-I.E.S. CASTELAR|H|1989-10-05|6.0|BADAJOZ|775.0|VILLAR DEL REY
150|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|S|N|N|N|N|2010-11|JUN|3|Formación Profesional|1|Ciclos formativos|6.29||240-I.E.S. ÁGORA|H|1988-05-25|10.0|CÁCERES|1.0|CÁCERES
151|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|N|N|N|S|2010-11|JUN|3|Formación Profesional|1|Ciclos formativos|6.57|6.57|119-I.E.S. DONOSO CORTÉS|D|1989-01-30|10.0|CÁCERES|1.0|CÁCERES
152|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|S|N|N|N|N|2010-11|JUN|3|Formación Profesional|1|Ciclos formativos|7.71||119-I.E.S. DONOSO CORTÉS|D|1990-03-07|6.0|BADAJOZ|1.0|BADAJOZ
154|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|S|N|N|N|N|2010-11|JUN|1|Selectividad|5|LOE (Grados)|5.959||224-I.E.S. TURGALIUM|D|1993-08-23|10.0|CÁCERES|444.0|MADROÑERA
155|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|S|I|N|S|2010-11|JUN|1|Selectividad|5|LOE (Grados)|6.182|6.182|127-I.E.S. VEGAS BAJAS|H|1993-07-22|6.0|BADAJOZ|1.0|BADAJOZ
156|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|S|N|N|N|N|2010-11|JUN|1|Selectividad|5|LOE (Grados)|6.086||217-I.E.S. FRANCISCO DE ORELLANA|H|1993-06-14|10.0|CÁCERES|772.0|TRUJILLO
157|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|S|N|N|N|N|2010-11|JUN|1|Selectividad|5|LOE (Grados)|6.806||175-I.E.S. ANTONIO DE NEBRIJA|H|1993-09-05|6.0|BADAJOZ|795.0|ZALAMEA DE LA SERENA
158|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|S|I|N|S|2010-11|JUN|1|Selectividad|5|LOE (Grados)|5.772|6.797|167-COLEGIO MARÍA AUXILIADORA|H|1993-03-03|6.0|BADAJOZ|410.0|MÉRIDA
160|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|N|N|N|N|2009-10|JUN|1|Selectividad|5|LOE (Grados)|5.972||244-I.E.S. ALBALAT|H|1992-08-24|31.0|NAVARRA|690.0|TUDELA
161|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|S|I|N|S|2007-08|JUN|1|Selectividad|1|LOGSE|6.01|6.01|232-I.E.S. PROFESOR HERNÁNDEZ PACHECO|H|1990-12-17|10.0|CÁCERES|1.0|CÁCERES
